id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
48422819,Lofts of the Mountains/Close to everything,64331718,Melody,,28715,35.54842,-82.65125,Entire home/apt,135,3,1,01/05/2021,0.18,5,355,1,
48441328,NEW! Asheville-Area Hilltop Retreat w/ 3 Decks!,151397468,Evolve,,28803,35.48385,-82.51373,Entire home/apt,231,2,16,03/10/2021,3.56,23,333,16,
48444621,Executive fully furnished close to Asheville,64331718,Melody,,28715,35.5486,-82.64948,Entire home/apt,135,3,4,27/09/2021,0.94,5,352,4,
48465967,East Asheville Hideaway w/ Private Entrance+Space,55299655,Andrew,,28805,35.58122,-82.51076,Private room,79,2,31,17/10/2021,9.21,1,0,31,
48472091,Cozy chic cottage nestled 9 minutes from downtown!,6902712,Michael,,28806,35.60454,-82.60359,Entire home/apt,100,2,26,03/10/2021,4.59,1,119,26,
48484474,Modern Mtn Getaway 5 Miles to Downtown Asheville,151397468,Evolve,,28804,35.64232,-82.5208,Entire home/apt,395,2,12,04/10/2021,1.88,23,330,12,
48491502,Asheville Cottage 18-20,174586650,Perry,,28805,35.58506,-82.48831,Entire home/apt,51,30,1,31/07/2021,0.37,6,74,1,
48547583,City Center Luxury Condo,167186184,Towns,,28801,35.59044,-82.55072,Entire home/apt,481,1,15,03/10/2021,2.09,104,319,15,
48547584,Luxury Downtown Condo City Center,167186184,Towns,,28801,35.5871,-82.55139,Entire home/apt,295,1,17,25/08/2021,2.37,104,354,17,
48550614,Long Cove Cottage minutes to West Asheville,6623542,Charmie And Aaron,,28715,35.51172,-82.65443,Entire home/apt,117,1,20,14/10/2021,4.03,2,124,20,
48569559,Ellington Loft,134903005,Carolina Mornings,,28801,35.59442,-82.55396,Entire home/apt,560,1,2,13/06/2021,0.34,20,333,2,
48569649,Carolina Roost,134903005,Carolina Mornings,,28803,35.55425,-82.47734,Entire home/apt,153,1,0,,,20,350,0,
48569663,Busbee Cabin,134903005,Carolina Mornings,,28803,35.5377,-82.49182,Entire home/apt,241,1,0,,,20,335,0,
48570953,"⭐️Mountaintop Asheville Cottage, mins to downtown ⭐️",391873180,Drew And Casey,,28803,35.551,-82.49589,Entire home/apt,244,2,18,03/10/2021,3.23,2,157,18,
48585236,Farm House with Hot Tub,391971447,Robin,,28806,35.59668,-82.59384,Entire home/apt,284,3,54,14/10/2021,13.97,8,361,54,
48602852,Retro Haywood Road Condo with Hot Tub,391971447,Robin,,28806,35.57744,-82.57711,Entire home/apt,264,1,54,13/10/2021,7.4,8,347,54,
48623500,"""Modern Bohemian"" King + 4 miles to DT Asheville",181316638,Becky,,28806,35.59049,-82.62118,Entire home/apt,259,2,42,11/10/2021,17.75,6,331,42,
48630060,Historic West Asheville apartment with hot tub,391971447,Robin,,28806,35.57899,-82.57778,Entire home/apt,141,3,60,06/10/2021,8.61,8,347,60,
48630309,Shabby Chic Bus with HOT TUB Live Simply,391971447,Robin,,28806,35.59502,-82.59304,Entire home/apt,107,3,75,14/10/2021,11.36,8,357,75,
48639122,Spacious Apartment in Vibrant West Asheville,191634998,Corinne,,28806,35.5846,-82.5713,Entire home/apt,170,2,47,17/10/2021,8.34,1,145,47,
48639348,One bedroom tree house,1292070,Annie,,28805,35.5957,-82.50765,Entire home/apt,67,30,0,,,3,33,0,
48652101,Minutes to Everything Newly Renovated,325101930,Amanda,,28704,35.46553,-82.57691,Entire home/apt,231,2,14,12/10/2021,2.37,1,266,14,
48657021,Amazing downtown luxury condo in the heart of downtown Asheville,167186184,Towns,,28801,35.59299,-82.54905,Entire home/apt,481,1,28,30/09/2021,6.46,104,311,28,
48657374,NEW: Complete Comfort + Views + Pool + Location!,64779746,Libby,,28801,35.585995,-82.541862,Entire home/apt,100,30,2,03/10/2021,0.81,2,53,2,
48661410,Mountain Modern- Blue Ridge Parkway luxury cabin,24498676,Sofie,,28805,35.59979,-82.48768,Entire home/apt,240,2,30,13/10/2021,5.29,1,129,30,
48671276,Luxe Loft; Pet Friendly; 3mi River Arts Dist.,7075213,Tara,,28804,35.62898,-82.61327,Entire home/apt,205,2,34,17/10/2021,34,2,121,34,
48672074,Rural feel in the heart of walkable West Asheville,299543782,David,,28806,35.57334,-82.59141,Entire home/apt,94,1,48,15/10/2021,6.79,1,39,48,
48672808,Asheville Mountain Alchemy: Truly spectacular luxury lodge,96187307,Yonder,,28805,35.62457,-82.5218,Entire home/apt,811,1,1,13/06/2021,0.23,41,334,1,
48672812,Mountain River Alchemy Airbnb Listing Headline,96187307,Yonder,,28806,35.56926,-82.56841,Entire home/apt,371,1,5,26/09/2021,0.92,41,337,5,
48672814,Mountain Vista Alchemy Airbnb Listing Headline,96187307,Yonder,,28804,35.62631,-82.51707,Entire home/apt,861,1,1,30/05/2021,0.21,41,324,1,
48676861,River Bus in the Mountains,391971447,Robin,,28806,35.59293,-82.59234,Entire home/apt,83,3,59,15/10/2021,12.46,8,0,59,
48680940,Asheville Urban Mountain Retreat views hot tub,392734293,Julie,,28806,35.60973,-82.63393,Entire home/apt,613,3,29,10/10/2021,10.61,5,348,29,
48691734,Cottage on a Mini Urban Farmstead in West AVL,35987403,Betsy,,28806,35.56565,-82.6338,Entire home/apt,88,2,21,05/09/2021,3.87,2,0,21,
48694660,Off grid tiny living on the farm in Asheville!,231291927,Steve,,28806,35.63308,-82.62892,Entire home/apt,92,3,77,08/10/2021,10.79,10,358,77,
